subject,predicate,object
Mahi_mahi_frozen_wild_caught,highIn,Protein
Fish_tuna_light_canned_in_water_drained_solids,contraindicatedFor,Osteoporosis
Yogurt_plain_whole_milk,contraindicatedFor,Constipation
Milk_nonfat_fluid_with_added_vitamin_A_and_vitamin_D_fat_free_or_skim,recommendedFor,Neurologic_Manifestations
Beans_Dry_Small_Red_0_moisture,recommendedFor,Heart_Diseases
Peanut_butter_creamy,contraindicatedFor,Crohn_Disease
Flour_almond,contraindicatedFor,Renal_Insufficiency
Apples_red_delicious_with_skin_raw,contraindicatedFor,Myocardial_Infarction
Beans_Dry_Pink_0_moisture,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Egg_white_dried,recommendedFor,Migraine_Disorders
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Atrial_Fibrillation
Snow_crab_legs_only_frozen__,recommendedFor,Hyperplasia
Nuts_hazelnuts_or_filberts_raw,predictedFor,Disease_Susceptibility
Beans_Dry_Dark_Red_Kidney_0_moisture,highIn,Iron
Cheese_parmesan_grated,contraindicatedFor,Non_alcoholic_Fatty_Liver_Disease
Butter_stick_salted,predictedFor,Pulpitis
Cookies_oatmeal_soft_with_raisins,recommendedFor,Tachycardia
Chicken_drumstick_meat_and_skin_raw,predictedFor,Proteinuria
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Developmental_Disabilities
Oats_whole_grain_rolled_old_fashioned,contraindicatedFor,Liver_Diseases
Egg_whole_dried,recommendedFor,Teratozoospermia
Beans_snap_green_canned_regular_pack_drained_solids,highIn,Sodium
Nuts_brazilnuts_raw,recommendedFor,Movement_Disorders
Flour_oat_whole_grain,recommendedFor,COVID_19
Cheese_cotija_solid,contraindicatedFor,Atherosclerosis
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,recommendedFor,Urinary_Bladder_Diseases
Sausage_turkey_breakfast_links_mild_raw,contraindicatedFor,Heart_Diseases
Corn_flour_masa_harina_white_or_yellow_dry_raw,predictedFor,Insulin_Resistance
Beans_Dry_Tan_0_moisture,recommendedFor,Parasomnias
Beans_Dry_Black_0_moisture,recommendedFor,Muscle_Weakness
Beef_chuck_roast_boneless_choice_raw,recommendedFor,COVID_19
Corn_flour_masa_harina_white_or_yellow_dry_raw,contraindicatedFor,Kidney_Diseases
Wild_rice_dry_raw,recommendedFor,Cardiovascular_Diseases
Flour_spelt_whole_grain,recommendedFor,Esophageal_Neoplasms
Chickpeas_garbanzo_beans_bengal_gram_dry,recommendedFor,Dysgeusia
Millet_whole_grain,recommendedFor,Tachycardia__Ectopic_Atrial
Cookies_oatmeal_soft_with_raisins,recommendedFor,Anemia__Iron_Deficiency
Blackeye_pea_dry,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Cheese_parmesan_grated_refrigerated,contraindicatedFor,Pre_Eclampsia
Peanut_butter_creamy,recommendedFor,Craniofacial_Abnormalities
Nuts_cashew_nuts_raw,contraindicatedFor,Kidney_Diseases
Flour_semolina_fine,contraindicatedFor,Colonic_Neoplasms
Cheese_American_restaurant,contraindicatedFor,Heart_Diseases
Flour_soy_fullfat,recommendedFor,Inflammation
Cheese_feta_whole_milk_crumbled,recommendedFor,Tachycardia
Yogurt_plain_nonfat,predictedFor,Arthralgia
Cheese_mozzarella_low_moisture_partskim,contraindicatedFor,Hypertension__Portal
Yogurt_Greek_plain_whole_milk,predictedFor,Pruritus
Peanut_butter_creamy,recommendedFor,Protein_Deficiency
Cheese_dry_white_queso_seco,contraindicatedFor,Hepatic_Encephalopathy
Cheese_provolone_sliced,recommendedFor,Testicular_Diseases
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,22-rdf-syntax-ns#type,Food
Peanuts_raw,recommendedFor,Disease_Susceptibility
Nuts_brazilnuts_raw,recommendedFor,Diabetic_Ketoacidosis
Flour_rye,recommendedFor,Tachycardia__Ventricular
Anchovies_canned_in_olive_oil_with_salt_drained,contraindicatedFor,Acute_Coronary_Syndrome
Sugars_granulated,contraindicatedFor,Myocardial_Infarction
Arugula_baby_raw,recommendedFor,Diabetes_Mellitus
Beans_Dry_Small_White_0_moisture,recommendedFor,Leukemia
Beans_Dry_Brown_0_moisture,recommendedFor,Heart_Defects__Congenital
Spinach_mature,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Farro_pearled_dry_raw,recommendedFor,Pain
Milk_reduced_fat_fluid_2_milkfat_with_added_vitamin_A_and_vitamin_D,recommendedFor,Sinus_Arrest__Cardiac
Beet_greens_raw,highIn,Iron
Crustaceans_crab_blue_swimming_lump_pasteurized_refrigerated,highIn,Sodium
Sorghum_flour_white_pearled_unenriched_dry_raw,predictedFor,Muscle_Weakness
Flour_sorghum,recommendedFor,Ventricular_Fibrillation
Cheese_parmesan_grated_refrigerated,highInPredicted,Cholesterol
Almond_milk_unsweetened_plain_refrigerated,recommendedFor,Cognition_Disorders
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Necrosis
Beans_Dry_Navy_0_moisture,recommendedFor,Migraine_Disorders
Developmental_Disabilities,22-rdf-syntax-ns#type,Disease
Beef_round_eye_of_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,recommendedFor,Necrosis
Beans_Dry_Red_0_moisture,contraindicatedFor,Iron_Overload
Sorghum_bran_white_unenriched_dry_raw,contraindicatedFor,Intestinal_Diseases
Cheese_dry_white_queso_seco,recommendedFor,Multiple_Sclerosis
Beef_short_loin_porterhouse_steak_separable_lean_only_trimmed_to_18_fat_select_raw,recommendedFor,Edema
Flaxseed_ground,contraindicatedFor,Non_alcoholic_Fatty_Liver_Disease
Soy_milk_unsweetened_plain_shelf_stable,recommendedFor,Drug_Overdose
Fonio_grain_dry_raw,contraindicatedFor,Iron_Overload
Sesame_butter_creamy,contraindicatedFor,Hyperkalemia
Cod_Pacific_or_Alaskan_frozen_wild_caught,contraindicatedFor,Ischemic_Stroke
Beans_cannellini_canned_sodium_added_drained_and_rinsed,contraindicatedFor,Renal_Insufficiency
Peanut_butter_creamy,recommendedFor,Tachycardia__Supraventricular
Hummus_commercial,contraindicatedFor,Ischemic_Stroke
Nuts_almonds_whole_raw,recommendedFor,Magnesium_Deficiency
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Heart_Defects__Congenital
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,recommendedFor,Cardiomyopathies
Beans_Dry_Pink_0_moisture,recommendedFor,Carcinoma__Ehrlich_Tumor
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,contraindicatedFor,Diarrhea
Beans_Dry_Navy_0_moisture,contraindicatedFor,Kidney_Calculi
Flour_potato,recommendedFor,Hypomagnesemia_primary
Sesame_butter_creamy,recommendedFor,Leukemia
Beans_Dry_Carioca_0_moisture,contraindicatedFor,Intestinal_Diseases
Peanuts_raw,recommendedFor,Developmental_Disabilities
Beef_short_loin_NY_strip_steak_raw,contraindicatedFor,Hepatic_Encephalopathy
Wild_rice_dry_raw,recommendedFor,Hepatolenticular_Degeneration
Cheese_cheddar,recommendedFor,Prenatal_Injuries
Nuts_pecans_halves_raw,recommendedFor,Hemorrhage
Beans_Dry_Red_0_moisture,contraindicatedFor,Liver_Cirrhosis
Flour_cassava,recommendedFor,Hypocalcemia
Cheese_oaxaca_solid,highInPredicted,Cholesterol
Sorghum_whole_grain_white_dry_raw,contraindicatedFor,Colonic_Neoplasms
Flour_wheat_allpurpose_enriched_unbleached,contraindicatedFor,Hemochromatosis
Beans_Dry_Carioca_0_moisture,recommendedFor,Heart_Defects__Congenital
Brussels_sprouts_raw,predictedFor,Migraine_Disorders
Fish_tuna_light_canned_in_water_drained_solids,recommendedFor,Inflammation
Pineapple_raw,contraindicatedFor,Diabetic_Ketoacidosis
Figs_dried_uncooked,contraindicatedFor,Cardiovascular_Diseases
Sesame_butter_creamy,contraindicatedFor,Acute_Kidney_Injury
Flour_spelt_whole_grain,recommendedFor,Inflammation
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Proteinuria
Beeftenderloin_steak_raw,recommendedFor,Diabetes_Mellitus
Nuts_pecans_halves_raw,recommendedFor,Acrodermatitis
Fish_haddock_raw,recommendedFor,Arrhythmias__Cardiac
Flour_barley,highIn,Fiber
Blackeye_pea_dry,recommendedFor,Carcinoma__Ehrlich_Tumor
Seeds_sunflower_seed_kernel_raw,contraindicatedFor,Hemochromatosis
Einkorn_grain_dry_raw,contraindicatedFor,Diarrhea
Buckwheat_whole_grain,recommendedFor,Coronary_Vasospasm
Beans_Dry_Cranberry_0_moisture,recommendedFor,Necrosis
Rice_red_unenriched_dry_raw,predictedFor,Water_Electrolyte_Imbalance
Fish_cod_Atlantic_wild_caught_raw,contraindicatedFor,Nephrotic_Syndrome
Vitamin_D,treats,Pain
Beef_loin_tenderloin_roast_separable_lean_only_boneless_trimmed_to_0_fat_select_cooked_roasted,recommendedFor,Diabetes_Mellitus__Type_2
Beans_snap_green_canned_regular_pack_drained_solids,contraindicatedFor,Hypertension__Pulmonary
Cheese_mozzarella_low_moisture_partskim,recommendedFor,Dysgeusia
Egg_yolk_dried,recommendedFor,Autistic_Disorder
Snow_crab_legs_only_frozen__,highInPredicted,Potassium
Nuts_almonds_whole_raw,recommendedFor,Peripheral_Nervous_System_Diseases
Beans_Dry_Brown_0_moisture,recommendedFor,Muscle_Cramp
Wild_rice_dry_raw,recommendedFor,Diabetes_Mellitus
Cheese_ricotta_whole_milk,recommendedFor,Sinus_Arrest__Cardiac
Arthralgia,22-rdf-syntax-ns#type,Disease
Nuts_hazelnuts_or_filberts_raw,predictedFor,Weight_Loss
Collards_raw,highIn,Folate
Beans_Dry_Brown_0_moisture,recommendedFor,Hypocalcemia
Cheese_swiss,contraindicatedFor,Gout
Bread_white_commercially_prepared,highIn,Calcium
Tuna_ahi_or_yellowfin_frozen_wild_caught,contraindicatedFor,Nephrotic_Syndrome
Flour_barley,recommendedFor,Parasomnias
Milk_lowfat_fluid_1_milkfat_with_added_vitamin_A_and_vitamin_D,recommendedFor,Hypotension
Cheese_cheddar,recommendedFor,Teratozoospermia
Cheese_cotija_solid,predictedFor,Wounds_and_Injuries
Beet_greens_raw,highInPredicted,Potassium
Nuts_almonds_dry_roasted_with_salt_added,contraindicatedFor,Iron_Overload
Beans_snap_green_canned_regular_pack_drained_solids,recommendedFor,Kidney_Diseases__Cystic
Blackberries_raw,highIn,Fiber
Peanut_butter_creamy,highIn,Folate
Yogurt_Greek_strawberry_nonfat,recommendedFor,Periodontitis
Nuts_pecans_halves_raw,contraindicatedFor,Colorectal_Neoplasms
Egg_yolk_dried,contraindicatedFor,Hepatic_Encephalopathy
Beans_Dry_Light_Tan_0_moisture,contraindicatedFor,Gout
Beans_Dry_Black_0_moisture,recommendedFor,Major_Depressive_Disorder
Cheese_pasteurized_process_American_vitamin_D_fortified,predictedFor,Splenic_Diseases
Nuts_pistachio_nuts_raw,predictedFor,COVID_19
Flour_almond,recommendedFor,Leukemia
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Muscle_Cramp
Cheese_cotija_solid,contraindicatedFor,Obesity
Flaxseed_ground,highInPredicted,Folate
Beans_black_canned_sodium_added_drained_and_rinsed,contraindicatedFor,Hypertension__Portal
Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,contraindicatedFor,Cardiovascular_Diseases
Wild_rice_dry_raw,recommendedFor,Hemorrhage
Einkorn_grain_dry_raw,contraindicatedFor,Colorectal_Neoplasms
Beeftenderloin_steak_raw,recommendedFor,Acrodermatitis
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,contraindicatedFor,Cardiovascular_Diseases
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,contraindicatedFor,Proteinuria
Beef_loin_tenderloin_roast_separable_lean_only_boneless_trimmed_to_0_fat_select_cooked_roasted,recommendedFor,Fever
Yogurt_Greek_strawberry_nonfat,recommendedFor,Rickets
Nuts_almonds_dry_roasted_with_salt_added,contraindicatedFor,Liver_Cirrhosis
Beef_chuck_roast_boneless_choice_raw,recommendedFor,Hyperglycemia
Yogurt_Greek_strawberry_nonfat,highInPredicted,Vitamin_C
Egg_yolk_dried,recommendedFor,Multiple_Sclerosis
Cheese_monterey_jack_solid,predictedFor,Parasomnias
Crustaceans_crab_blue_swimming_lump_pasteurized_refrigerated,highIn,Vitamin_B12
Pork_cured_bacon_cooked_restaurant,predictedFor,Urinary_Bladder_Diseases
recommendedFor,rdf-schema#label,recommended for disease (inferred)
Cheese_dry_white_queso_seco,recommendedFor,Bone_Diseases
Beans_Dry_Pinto_0_moisture,recommendedFor,Necrosis
Flour_rye,recommendedFor,Tachycardia__Ectopic_Atrial
Flour_buckwheat,recommendedFor,Arrhythmias__Cardiac
Buckwheat_whole_grain,recommendedFor,Seizures
Beans_Dry_Small_White_0_moisture,recommendedFor,Prenatal_Injuries
Beans_Dry_Carioca_0_moisture,recommendedFor,Hypocalcemia
Beans_Dry_Red_0_moisture,recommendedFor,Substance_Withdrawal_Syndrome
Cream_cheese_full_fat_block,recommendedFor,Bradycardia
Fish_tuna_light_canned_in_water_drained_solids,highIn,Sodium
Flour_amaranth,recommendedFor,Testicular_Diseases
Nuts_almonds_dry_roasted_with_salt_added,recommendedFor,Hypotension
Cheese_provolone_sliced,recommendedFor,Weight_Gain
Fish_tuna_light_canned_in_water_drained_solids,highIn,Vitamin_D
Flour_rice_brown,recommendedFor,Tachycardia__Ectopic_Atrial
Milk_reduced_fat_fluid_2_milkfat_with_added_vitamin_A_and_vitamin_D,predictedFor,Pruritus
Nuts_pine_nuts_raw,recommendedFor,Coronary_Vasospasm
Peanuts_raw,recommendedFor,Proteinuria
Flour_whole_wheat_unenriched,recommendedFor,Diabetic_Cardiomyopathies
Flour_chestnut,contraindicatedFor,Intestinal_Diseases
Tomatoes_canned_red_ripe_diced,recommendedFor,Acute_Kidney_Injury
Beans_Dry_Light_Red_Kidney_0_moisture,recommendedFor,Heart_Diseases
Tuna_ahi_or_yellowfin_frozen_wild_caught,predictedFor,Tachycardia
Beans_Dry_Small_White_0_moisture,recommendedFor,Cerebrovascular_Disorders
Egg_whole_dried,recommendedFor,Cognition_Disorders
Flour_amaranth,contraindicatedFor,Intestinal_Diseases
Seeds_sunflower_seed_kernel_raw,recommendedFor,Acrodermatitis
Khorasan_grain_dry_raw,contraindicatedFor,Hypokalemic_Periodic_Paralysis
Cheese_swiss,recommendedFor,Multiple_Myeloma
Fish_haddock_raw,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Nuts_brazilnuts_raw,recommendedFor,Ventricular_Fibrillation
Mushroom_lions_mane,recommendedFor,Hypertension
Figs_dried_uncooked,contraindicatedFor,Diabetes_Mellitus
Figs_dried_uncooked,recommendedFor,Drug_Overdose
Beans_Dry_Small_White_0_moisture,contraindicatedFor,Constipation
Soy_milk_sweetened_plain_refrigerated,recommendedFor,Prenatal_Exposure_Delayed_Effects
Nuts_almonds_whole_raw,highInPredicted,Carbohydrate
Mandarin_seedless_peeled_raw,contraindicatedFor,Cardiovascular_Diseases
Sesame_butter_creamy,recommendedFor,Prenatal_Injuries
Flour_sorghum,recommendedFor,Vasospasm__Intracranial
Almond_milk_unsweetened_plain_refrigerated,recommendedFor,Liver_Cirrhosis
Grapes_green_seedless_raw,contraindicatedFor,Myocardial_Infarction
Nuts_pine_nuts_raw,recommendedFor,Disease_Progression
Flour_buckwheat,contraindicatedFor,Hemosiderosis
Oats_whole_grain_steel_cut,contraindicatedFor,Hemochromatosis
Apple_juice_with_added_vitamin_C_from_concentrate_shelf_stable,contraindicatedFor,Diabetic_Ketoacidosis
Flour_soy_fullfat,recommendedFor,Proteinuria
Cheese_queso_fresco_solid,recommendedFor,Peptic_Ulcer
Egg_white_dried,recommendedFor,Colitis
Yogurt_Greek_plain_nonfat,contraindicatedFor,Hypercalcemia
Blackberries_raw,contraindicatedFor,Kidney_Diseases
Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,contraindicatedFor,Hepatolenticular_Degeneration
Sesame_butter_creamy,recommendedFor,Cerebrovascular_Disorders
Butter_stick_salted,contraindicatedFor,Obesity
Beans_kidney_light_red_canned_sodium_added_sugar_added_drained_and_rinsed,highIn,Sodium
Nuts_walnuts_English_halves_raw,recommendedFor,Weight_Gain
Rice_red_unenriched_dry_raw,recommendedFor,Hypomagnesemia_primary
Saturated_Fat,worsensWith,Stroke
Flour_whole_wheat_unenriched,recommendedFor,Ventricular_Dysfunction__Left
Egg_white_dried,recommendedFor,Coronary_Vasospasm
Cream_heavy,contraindicatedFor,Atherosclerosis
Beans_Dry_Small_Red_0_moisture,recommendedFor,Heart_Failure
Collards_raw,recommendedFor,Tremor
Egg_yolk_raw_frozen_pasteurized,predictedFor,Tachycardia__Ventricular
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,contraindicatedFor,Gastrointestinal_Diseases
Cheese_mozzarella_low_moisture_partskim,contraindicatedFor,Nephrotic_Syndrome
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Prostatic_Neoplasms
Nuts_walnuts_English_halves_raw,recommendedFor,Autistic_Disorder
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Diabetes_Mellitus
Nuts_pine_nuts_raw,recommendedFor,Seizures
Beef_round_eye_of_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,recommendedFor,Diabetes_Mellitus
Parsnips_raw,contraindicatedFor,Hyperlipidemias
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Atherosclerosis
Almond_butter_creamy,recommendedFor,Heart_Defects__Congenital
Egg_whole_raw_frozen_pasteurized,recommendedFor,Pruritus
Bread_wholewheat_commercially_prepared,recommendedFor,Drug_Overdose
Mushroom_maitake,recommendedFor,Multiple_Sclerosis
Tomato_juice_with_added_ingredients_from_concentrate_shelf_stable,contraindicatedFor,Arteriosclerosis
Flour_buckwheat,contraindicatedFor,Malabsorption_Syndromes
Chickpeas_garbanzo_beans_bengal_gram_dry,recommendedFor,Disease_Progression
Cheese_cheddar,contraindicatedFor,Stroke
Cheese_oaxaca_solid,contraindicatedFor,Osteoporosis__Postmenopausal
Einkorn_grain_dry_raw,highIn,Zinc
Millet_whole_grain,recommendedFor,Pain
Chicken_drumstick_meat_and_skin_raw,predictedFor,Splenic_Diseases
Flour_buckwheat,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Rice_red_unenriched_dry_raw,recommendedFor,Long_QT_Syndrome
Scallops_bay_Patagonian_frozen_wild_caught,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Flour_quinoa,recommendedFor,Stomach_Ulcer
Cheese_pasteurized_process_cheese_food_or_product_American_singles,contraindicatedFor,Nephrolithiasis
Buckwheat_whole_grain,recommendedFor,Pain
Cheese_mozzarella_low_moisture_partskim,recommendedFor,Esophageal_Squamous_Cell_Carcinoma
Egg_yolk_dried,recommendedFor,Bone_Diseases
Beef_round_top_round_boneless_choice_raw,recommendedFor,Diabetes_Mellitus__Type_2
Cheese_parmesan_grated_refrigerated,recommendedFor,Fever
Fish_tuna_light_canned_in_water_drained_solids,highIn,Vitamin_B6
Einkorn_grain_dry_raw,contraindicatedFor,Gastrointestinal_Diseases
Seeds_sunflower_seed_kernel_raw,recommendedFor,Osteoporosis
Cheese_American_restaurant,contraindicatedFor,Heart_Failure
Mahi_mahi_frozen_wild_caught,22-rdf-syntax-ns#type,Food
Onion_rings_breaded_par_fried_frozen_prepared_heated_in_oven,contraindicatedFor,Acute_Coronary_Syndrome
Cheese_cottage_lowfat_2_milkfat,contraindicatedFor,Arteriosclerosis
Almond_milk_unsweetened_plain_shelf_stable,predictedFor,Pruritus
Potatoes_gold_without_skin_raw,recommendedFor,Heart_Failure
Cheese_pasteurized_process_American_vitamin_D_fortified,recommendedFor,Cognition_Disorders
Beef_short_loin_tbone_steak_bonein_separable_lean_only_trimmed_to_18_fat_choice_cooked_grilled,recommendedFor,Disease_Models__Animal
Sorghum_whole_grain_white_dry_raw,predictedFor,Stomach_Ulcer
Flour_spelt_whole_grain,highIn,Vitamin_B6
Beef_loin_top_loin_steak_boneless_lipon_separable_lean_only_trimmed_to_18_fat_choice_raw,recommendedFor,Stomach_Ulcer
Beans_Dry_Navy_0_moisture,recommendedFor,Colitis
Chickpeas_garbanzo_beans_bengal_gram_dry,recommendedFor,Seizures
Mushroom_beech,contraindicatedFor,Kidney_Diseases
Flour_potato,highIn,Iron
Nuts_hazelnuts_or_filberts_raw,predictedFor,Atherosclerosis
Sorghum_flour_white_pearled_unenriched_dry_raw,recommendedFor,Migraine_Disorders
Khorasan_grain_dry_raw,recommendedFor,Diabetes_Mellitus__Type_2
Beans_Dry_Brown_0_moisture,recommendedFor,Esophageal_Neoplasms
Cheese_provolone_sliced,recommendedFor,Asthma
Almond_milk_unsweetened_plain_refrigerated,contraindicatedFor,Nephrolithiasis
Beans_Dry_Small_White_0_moisture,contraindicatedFor,Hyperkalemia
Egg_white_dried,recommendedFor,Seizures
Flour_almond,recommendedFor,Cerebrovascular_Disorders
Bread_white_commercially_prepared,contraindicatedFor,Heart_Diseases
Beans_Dry_Navy_0_moisture,recommendedFor,Coronary_Vasospasm
Snow_crab_legs_only_frozen__,recommendedFor,Neurologic_Manifestations
Mahi_mahi_frozen_wild_caught,recommendedFor,Diabetes_Mellitus
Oats_whole_grain_steel_cut,recommendedFor,Acrodermatitis
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,contraindicatedFor,Atherosclerosis
Mushroom_pioppini,contraindicatedFor,Kidney_Failure__Chronic
Flour_coconut,recommendedFor,Heart_Failure
Flour_quinoa,recommendedFor,Diabetic_Cardiomyopathies
Oil_olive_extra_light,contraindicatedFor,Myocardial_Infarction
Beans_cannellini_dry,recommendedFor,Cholestasis
Flour_sorghum,recommendedFor,Parasomnias
Cookies_oatmeal_soft_with_raisins,contraindicatedFor,Liver_Diseases
Beans_Dry_Tan_0_moisture,recommendedFor,Osteoporosis__Postmenopausal
Swordfish_frozen_wild_caught,recommendedFor,Hypertension
Blackeye_pea_dry,recommendedFor,Hypokalemia
Flour_buckwheat,predictedFor,Leukemia
Beef_round_top_round_boneless_choice_raw,recommendedFor,Fever
Mandarin_seedless_peeled_raw,contraindicatedFor,Diabetes_Mellitus
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Esophageal_Neoplasms
Cheese_dry_white_queso_seco,recommendedFor,Reperfusion_Injury
Egg_whole_raw_frozen_pasteurized,contraindicatedFor,Hypertension
Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,recommendedFor,Insulin_Resistance
Lentils_dry,recommendedFor,Stomach_Ulcer
Sorghum_whole_grain_white_dry_raw,predictedFor,Diabetic_Cardiomyopathies
Butter_stick_unsalted,contraindicatedFor,Cardiovascular_Diseases
Squid_calamari_frozen_tubes_only,contraindicatedFor,Nephrolithiasis
Beef_top_sirloin_steak_raw,recommendedFor,Testicular_Diseases
Flour_amaranth,recommendedFor,Weight_Gain
Flour_almond,recommendedFor,Teratozoospermia
Almond_butter_creamy,recommendedFor,Muscle_Cramp
Anchovies_canned_in_olive_oil_with_salt_drained,recommendedFor,Cholestasis
Beef_loin_top_loin_steak_boneless_lipon_separable_lean_only_trimmed_to_18_fat_choice_raw,recommendedFor,Diabetic_Cardiomyopathies
Einkorn_grain_dry_raw,recommendedFor,Heart_Defects__Congenital
Tomatoes_whole_canned_solids_and_liquids_with_salt_added,recommendedFor,Water_Electrolyte_Imbalance
Cheese_parmesan_grated,recommendedFor,COVID_19
Parsnips_raw,contraindicatedFor,Kidney_Diseases__Cystic
Khorasan_grain_dry_raw,recommendedFor,Fever
Almond_butter_creamy,recommendedFor,Hypocalcemia
Sorghum_grain_white_pearled_unenriched_dry_raw,contraindicatedFor,Diarrhea
Egg_whole_dried,recommendedFor,Insulin_Resistance
Tomato_paste_canned_without_salt_added,contraindicatedFor,Colonic_Neoplasms
Flour_potato,highIn,Carbohydrate
Peanuts_raw,recommendedFor,Atherosclerosis
Chicken_broilers_or_fryers_drumstick_meat_only_cooked_braised,contraindicatedFor,Nephrolithiasis
Beans_Dry_Great_Northern_0_moisture,recommendedFor,Testicular_Diseases
Soy_milk_sweetened_plain_refrigerated,recommendedFor,Colonic_Neoplasms
Brussels_sprouts_raw,predictedFor,Coronary_Vasospasm
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Substance_Withdrawal_Syndrome
Fish_tilapia_farm_raised_raw,highIn,Protein
Collards_raw,contraindicatedFor,Kidney_Diseases
Beans_navy_canned_sodium_added_drained_and_rinsed,contraindicatedFor,Myocardial_Infarction
Beans_Dry_Carioca_0_moisture,recommendedFor,Esophageal_Neoplasms
Farro_pearled_dry_raw,recommendedFor,Cholestasis
Magnesium,treats,Cerebrovascular_Disorders
Beans_cannellini_dry,recommendedFor,Rhabdomyolysis
Beans_navy_canned_sodium_added_drained_and_rinsed,recommendedFor,Water_Electrolyte_Imbalance
Beans_Dry_Small_Red_0_moisture,contraindicatedFor,Nephrocalcinosis
Nuts_pistachio_nuts_raw,highIn,Protein
Cheese_provolone_sliced,recommendedFor,Bone_Diseases
Cheese_feta_whole_milk_crumbled,predictedFor,Mobility_Limitation
Mobility_Limitation,22-rdf-syntax-ns#type,Disease
Grape_juice_purple_with_added_vitamin_C_from_concentrate_shelf_stable,contraindicatedFor,Diabetes_Mellitus__Type_2
Cheese_dry_white_queso_seco,recommendedFor,Dysgeusia
